Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
France,2017,Man-in-the-Middle,Government,8.97,85382,Unknown,Social Engineering,Antivirus,4
USA,2024,Phishing,IT,15.63,209586,Unknown,Weak Passwords,Antivirus,13
Russia,2022,Phishing,Healthcare,4.2,79249,Unknown,Zero-day,Firewall,21
USA,2020,SQL Injection,Education,4.33,142871,Insider,Social Engineering,VPN,14
France,2016,Phishing,Telecommunications,90.8,622964,Hacker Group,Unpatched Software,Antivirus,67
USA,2016,Ransomware,Healthcare,32.55,835544,Unknown,Social Engineering,Antivirus,40
Germany,2015,Man-in-the-Middle,Retail,14.56,486073,Hacker Group,Unpatched Software,Encryption,36
China,2023,DDoS,Banking,8.04,254692,Hacker Group,Unpatched Software,AI-based Detection,23
Germany,2023,Ransomware,Government,14.91,475635,Hacker Group,Social Engineering,Firewall,21
USA,2019,Phishing,Healthcare,6.08,233072,Unknown,Social Engineering,Firewall,13
Brazil,2016,DDoS,IT,14.96,272215,Nation-state,Unpatched Software,Encryption,39
Brazil,2021,Phishing,Banking,2.8,175123,Unknown,Social Engineering,Antivirus,13
Japan,2019,DDoS,Healthcare,16.37,561277,Unknown,Weak Passwords,VPN,46
France,2015,SQL Injection,Retail,45.89,999831,Nation-state,Unpatched Software,Encryption,66
France,2017,Man-in-the-Middle,IT,24.59,538253,Hacker Group,Zero-day,Firewall,37
India,2018,SQL Injection,Banking,9.42,130807,Hacker Group,Social Engineering,VPN,4
Germany,2021,DDoS,Government,1.51,117069,Unknown,Zero-day,Encryption,5
Australia,2020,SQL Injection,Banking,16.33,348943,Nation-state,Weak Passwords,Antivirus,29
Australia,2024,SQL Injection,Healthcare,46.76,740751,Unknown,Social Engineering,Firewall,42
India,2020,SQL Injection,Healthcare,42.69,816177,Insider,Zero-day,Encryption,72
Japan,2022,DDoS,Telecommunications,5.81,233628,Hacker Group,Social Engineering,Firewall,16
Brazil,2023,SQL Injection,Telecommunications,3.44,25422,Hacker Group,Unpatched Software,AI-based Detection,7
USA,2019,Man-in-the-Middle,Healthcare,7.69,66256,Nation-state,Social Engineering,Encryption,17
Australia,2022,SQL Injection,Education,0.83,26920,Insider,Social Engineering,VPN,11
China,2015,DDoS,Banking,12.1,293702,Nation-state,Unpatched Software,AI-based Detection,28
Russia,2015,Ransomware,Retail,10.13,221482,Hacker Group,Social Engineering,Firewall,42
USA,2023,SQL Injection,Government,24.95,220247,Insider,Weak Passwords,AI-based Detection,32
UK,2018,Phishing,Banking,11.97,264783,Nation-state,Social Engineering,VPN,39
UK,2022,DDoS,IT,14.62,203698,Hacker Group,Unpatched Software,Encryption,43
France,2015,SQL Injection,IT,10.61,279672,Nation-state,Social Engineering,AI-based Detection,45
Germany,2023,Phishing,Healthcare,19.15,219812,Insider,Weak Passwords,VPN,35
Germany,2017,DDoS,Government,16.31,204593,Hacker Group,Unpatched Software,Firewall,16
China,2020,DDoS,Retail,10.89,233139,Unknown,Weak Passwords,Antivirus,34
Brazil,2015,DDoS,IT,3.02,110541,Hacker Group,Social Engineering,Antivirus,18
Japan,2018,Man-in-the-Middle,Telecommunications,65.05,896299,Unknown,Social Engineering,Antivirus,72
USA,2019,DDoS,Retail,13.64,468797,Hacker Group,Zero-day,Encryption,44
India,2017,Malware,IT,22.14,581029,Insider,Social Engineering,Encryption,25
Japan,2018,Phishing,Healthcare,10.59,490359,Unknown,Social Engineering,Encryption,20
Japan,2023,Phishing,Banking,11.97,591825,Unknown,Social Engineering,Antivirus,12
India,2018,SQL Injection,Government,24.95,237493,Hacker Group,Unpatched Software,AI-based Detection,43
Australia,2019,Phishing,Healthcare,15.6,350318,Unknown,Zero-day,Antivirus,12
UK,2017,Phishing,Healthcare,2.44,235306,Unknown,Unpatched Software,Encryption,23
Japan,2017,Phishing,Banking,23.38,372754,Nation-state,Social Engineering,Antivirus,19
USA,2024,Ransomware,Education,20.09,540132,Nation-state,Weak Passwords,Antivirus,27
Brazil,2018,Phishing,Retail,16.37,399210,Unknown,Unpatched Software,Encryption,19
USA,2016,DDoS,Banking,16.63,307976,Nation-state,Unpatched Software,VPN,14
USA,2023,Phishing,Telecommunications,12.13,216124,Unknown,Social Engineering,Encryption,38
USA,2023,Malware,Government,16.26,454443,Unknown,Unpatched Software,Firewall,15
China,2015,Phishing,IT,33.83,850681,Unknown,Weak Passwords,Encryption,64
Japan,2018,Ransomware,Banking,15.27,236043,Hacker Group,Weak Passwords,Antivirus,44
USA,2022,Malware,Healthcare,50.66,558034,Hacker Group,Social Engineering,VPN,56
Brazil,2018,Ransomware,Banking,16.27,446183,Hacker Group,Social Engineering,VPN,47
Germany,2019,Man-in-the-Middle,IT,33.71,972219,Insider,Weak Passwords,Antivirus,65
Russia,2021,Ransomware,IT,7.87,197003,Nation-state,Social Engineering,Firewall,19
France,2018,Man-in-the-Middle,Education,10.72,506406,Nation-state,Unpatched Software,Firewall,13
China,2023,DDoS,Education,2.73,12012,Unknown,Social Engineering,Firewall,6
Japan,2024,DDoS,Healthcare,9.19,247856,Insider,Unpatched Software,AI-based Detection,24
USA,2024,Phishing,Government,7.61,268203,Hacker Group,Zero-day,Antivirus,3
India,2021,Phishing,IT,14.82,414795,Hacker Group,Weak Passwords,VPN,25
Germany,2015,DDoS,Healthcare,21.93,463387,Nation-state,Social Engineering,VPN,32
Japan,2024,DDoS,Education,8.39,46815,Hacker Group,Weak Passwords,Antivirus,19
Russia,2023,Phishing,Retail,21.19,238273,Unknown,Zero-day,Antivirus,36
France,2018,Man-in-the-Middle,Government,15.59,395228,Hacker Group,Zero-day,Antivirus,28
Japan,2023,Phishing,Retail,15.63,353685,Hacker Group,Social Engineering,Encryption,36
India,2018,DDoS,Banking,8.1,148794,Unknown,Zero-day,Encryption,21
USA,2016,Ransomware,Education,15.82,237051,Insider,Weak Passwords,Firewall,13
USA,2021,DDoS,Government,13.25,506479,Unknown,Unpatched Software,Encryption,16
India,2018,Phishing,Banking,14.92,335087,Hacker Group,Social Engineering,VPN,48
France,2023,SQL Injection,Education,5.67,283854,Nation-state,Social Engineering,Encryption,7
USA,2023,DDoS,Education,8.67,264858,Nation-state,Social Engineering,VPN,16
India,2023,Ransomware,Healthcare,1.89,19838,Nation-state,Social Engineering,VPN,20
France,2022,Phishing,Healthcare,5.82,16605,Hacker Group,Social Engineering,Antivirus,7
Japan,2017,Malware,Healthcare,14.24,570413,Nation-state,Zero-day,Antivirus,36
Germany,2023,Phishing,Retail,11.36,445204,Unknown,Weak Passwords,Antivirus,14
Brazil,2020,Ransomware,Government,0.92,177458,Nation-state,Social Engineering,Firewall,2
Japan,2016,SQL Injection,Government,20.19,220834,Nation-state,Social Engineering,VPN,16
India,2021,Phishing,Telecommunications,2.41,276694,Hacker Group,Social Engineering,AI-based Detection,15
UK,2018,Ransomware,IT,4.58,98615,Nation-state,Social Engineering,Encryption,1
Brazil,2015,Ransomware,Education,3.33,230359,Hacker Group,Unpatched Software,Antivirus,6
Brazil,2016,SQL Injection,IT,0.76,244156,Unknown,Social Engineering,Firewall,1
Brazil,2017,Malware,Telecommunications,65.29,658530,Hacker Group,Unpatched Software,Encryption,70
USA,2018,Phishing,Telecommunications,70.21,738876,Unknown,Weak Passwords,VPN,64
Australia,2019,Malware,Healthcare,11.88,443479,Nation-state,Unpatched Software,Encryption,35
USA,2016,DDoS,Banking,38.72,503357,Unknown,Unpatched Software,VPN,35
Japan,2024,Ransomware,Banking,7.95,102254,Nation-state,Social Engineering,Antivirus,17
Australia,2023,DDoS,Healthcare,11.97,557817,Hacker Group,Unpatched Software,Firewall,16
Brazil,2020,SQL Injection,IT,8.1,170269,Hacker Group,Unpatched Software,Encryption,12
USA,2020,Malware,Retail,3.04,249418,Unknown,Social Engineering,Encryption,8
China,2024,Phishing,IT,14.02,438306,Hacker Group,Social Engineering,Encryption,39
UK,2018,Malware,Telecommunications,14.74,346113,Hacker Group,Social Engineering,Firewall,37
Russia,2020,Malware,Education,9.33,17747,Unknown,Zero-day,Encryption,14
UK,2015,DDoS,Education,7.68,194144,Nation-state,Social Engineering,VPN,19
Germany,2020,Malware,Telecommunications,19.97,407248,Hacker Group,Weak Passwords,Firewall,44
China,2020,Malware,Retail,6.04,161387,Hacker Group,Zero-day,VPN,15
China,2022,Phishing,Education,8.18,61671,Insider,Social Engineering,AI-based Detection,21
USA,2023,Ransomware,Government,12.63,407591,Hacker Group,Weak Passwords,Encryption,17
India,2024,Malware,Retail,55.12,795907,Hacker Group,Weak Passwords,Firewall,28
USA,2018,SQL Injection,Healthcare,8.44,25853,Unknown,Weak Passwords,Antivirus,23
Australia,2016,Phishing,Government,13.81,258121,Unknown,Social Engineering,VPN,36
Australia,2021,Man-in-the-Middle,Telecommunications,10.4,547494,Nation-state,Unpatched Software,AI-based Detection,39
UK,2016,Ransomware,Retail,64.15,793395,Insider,Social Engineering,AI-based Detection,70
Russia,2024,Ransomware,Telecommunications,18.25,545782,Hacker Group,Social Engineering,VPN,39
Japan,2022,Man-in-the-Middle,Telecommunications,10.87,443033,Hacker Group,Social Engineering,Firewall,34
Japan,2021,DDoS,IT,2.74,270455,Insider,Zero-day,VPN,3
Japan,2023,SQL Injection,IT,8.32,100608,Hacker Group,Social Engineering,Encryption,24
UK,2020,DDoS,Telecommunications,49.17,778638,Nation-state,Unpatched Software,Antivirus,51
China,2017,DDoS,Government,14.03,285036,Unknown,Zero-day,Encryption,39
USA,2017,Phishing,Healthcare,10.28,328792,Nation-state,Weak Passwords,Encryption,40
Brazil,2019,Phishing,Education,3.7,184348,Nation-state,Social Engineering,Antivirus,2
Australia,2016,Malware,Telecommunications,41.14,726137,Unknown,Social Engineering,VPN,34
Germany,2022,Malware,Telecommunications,15.47,272632,Insider,Unpatched Software,AI-based Detection,45
UK,2016,Phishing,Banking,19.77,342942,Unknown,Social Engineering,Encryption,32
USA,2024,DDoS,Government,59.81,630775,Hacker Group,Social Engineering,Encryption,59
Germany,2019,Phishing,Government,18.87,452127,Nation-state,Weak Passwords,AI-based Detection,30
Australia,2020,Malware,Government,10.83,254800,Unknown,Social Engineering,VPN,12
Germany,2018,SQL Injection,Healthcare,1.73,47681,Nation-state,Weak Passwords,Firewall,20
Brazil,2019,SQL Injection,Government,1.03,75800,Hacker Group,Unpatched Software,Firewall,8
UK,2024,DDoS,Telecommunications,9.2,214428,Unknown,Zero-day,Firewall,10
Australia,2024,SQL Injection,Banking,16.4,460236,Nation-state,Unpatched Software,Firewall,12
Russia,2023,SQL Injection,Healthcare,3.78,36285,Unknown,Unpatched Software,AI-based Detection,6
China,2017,DDoS,Telecommunications,0.91,89962,Insider,Social Engineering,Firewall,4
Japan,2023,SQL Injection,Banking,5.16,30408,Insider,Unpatched Software,Antivirus,8
Brazil,2017,Man-in-the-Middle,Retail,15.14,231508,Insider,Zero-day,Firewall,30
China,2017,Ransomware,Banking,19.53,594554,Nation-state,Zero-day,Firewall,39
Brazil,2019,Malware,Government,6.58,40003,Insider,Unpatched Software,AI-based Detection,23
Japan,2017,Ransomware,Retail,39.85,736480,Unknown,Unpatched Software,Antivirus,41
Russia,2020,Man-in-the-Middle,Telecommunications,9.06,81236,Nation-state,Social Engineering,AI-based Detection,23
China,2021,Phishing,Education,9.9,84343,Hacker Group,Unpatched Software,Firewall,17
UK,2024,Ransomware,Healthcare,19.21,295715,Hacker Group,Social Engineering,Antivirus,18
Australia,2022,DDoS,IT,14.71,215123,Nation-state,Weak Passwords,Encryption,12
Russia,2022,SQL Injection,Education,2.81,182152,Insider,Weak Passwords,VPN,21
China,2018,Ransomware,Healthcare,96.64,781507,Nation-state,Social Engineering,Firewall,47
USA,2024,Ransomware,Banking,9.18,196066,Nation-state,Unpatched Software,Encryption,24
Germany,2022,SQL Injection,Healthcare,16.5,384101,Hacker Group,Unpatched Software,AI-based Detection,30
Australia,2021,Phishing,Banking,18.6,561794,Hacker Group,Weak Passwords,Antivirus,45
France,2023,Phishing,Banking,11.33,303274,Hacker Group,Unpatched Software,Encryption,37
China,2020,Phishing,Healthcare,10.02,204517,Unknown,Social Engineering,AI-based Detection,13
France,2018,Man-in-the-Middle,Telecommunications,17.18,271068,Nation-state,Weak Passwords,VPN,14
China,2023,Malware,Retail,16.07,295501,Hacker Group,Unpatched Software,Encryption,38
Australia,2019,Man-in-the-Middle,Government,2.63,211728,Unknown,Unpatched Software,AI-based Detection,20
Russia,2017,DDoS,Healthcare,7.55,76045,Unknown,Unpatched Software,AI-based Detection,11
USA,2018,Malware,Education,18.56,302991,Unknown,Social Engineering,Firewall,30
Australia,2017,Phishing,Government,7.69,126503,Nation-state,Weak Passwords,Firewall,16
Germany,2018,Phishing,Banking,9.7,99532,Insider,Zero-day,Antivirus,19
Brazil,2024,Malware,Education,16.89,561405,Hacker Group,Unpatched Software,VPN,19
USA,2017,Ransomware,Banking,15.24,446364,Hacker Group,Social Engineering,VPN,22
China,2022,DDoS,Government,7.16,92312,Nation-state,Weak Passwords,AI-based Detection,15
USA,2018,Phishing,Government,10.77,200240,Nation-state,Unpatched Software,Encryption,27
Japan,2015,Malware,Healthcare,13.34,554147,Insider,Unpatched Software,Antivirus,36
Brazil,2019,Phishing,Banking,16.83,319473,Unknown,Zero-day,VPN,34
India,2016,Phishing,IT,8.58,13743,Unknown,Social Engineering,Antivirus,15
India,2015,DDoS,Banking,9.85,84202,Insider,Social Engineering,Firewall,1
France,2020,DDoS,Banking,15.37,579895,Nation-state,Weak Passwords,Firewall,40
UK,2016,DDoS,Banking,11.85,289748,Unknown,Unpatched Software,Encryption,39
Brazil,2020,DDoS,Telecommunications,25.44,368946,Nation-state,Zero-day,VPN,48
Japan,2017,Ransomware,Banking,4.65,118857,Unknown,Zero-day,Firewall,16
UK,2018,SQL Injection,IT,87.28,943576,Insider,Social Engineering,Antivirus,70
UK,2020,Phishing,IT,56.07,865520,Nation-state,Weak Passwords,Encryption,42
Australia,2022,DDoS,Government,42.91,872770,Insider,Unpatched Software,Antivirus,57
Russia,2020,SQL Injection,Retail,8.11,215478,Insider,Unpatched Software,AI-based Detection,7
Australia,2020,Phishing,IT,18.51,256918,Nation-state,Unpatched Software,Encryption,36
Australia,2021,Phishing,Banking,9.82,21388,Unknown,Unpatched Software,VPN,9
Brazil,2023,Phishing,Government,37.15,660752,Insider,Weak Passwords,Encryption,68
USA,2019,Phishing,Healthcare,4.39,44306,Nation-state,Zero-day,VPN,12
China,2019,Phishing,Banking,0.99,266927,Unknown,Weak Passwords,Firewall,17
Japan,2022,Malware,Healthcare,17.18,498653,Unknown,Social Engineering,Encryption,37
Brazil,2022,Phishing,IT,29.57,223474,Unknown,Social Engineering,Firewall,25
China,2017,Ransomware,Retail,16.33,328201,Unknown,Weak Passwords,Antivirus,34
USA,2023,DDoS,IT,35.95,661046,Insider,Zero-day,Firewall,46
China,2020,Phishing,Banking,6.33,297986,Insider,Weak Passwords,AI-based Detection,22
Brazil,2023,Malware,Education,36.88,978156,Unknown,Weak Passwords,VPN,65
India,2024,Man-in-the-Middle,Banking,31.56,593544,Hacker Group,Unpatched Software,VPN,65
Germany,2022,Ransomware,Telecommunications,6.92,175660,Hacker Group,Weak Passwords,AI-based Detection,14
UK,2022,DDoS,Education,2.46,221981,Nation-state,Social Engineering,VPN,7
UK,2015,SQL Injection,Healthcare,16.74,531074,Nation-state,Weak Passwords,AI-based Detection,16
Germany,2016,DDoS,Healthcare,8.4,76743,Insider,Social Engineering,Firewall,16
USA,2022,Malware,Healthcare,10.52,513376,Unknown,Unpatched Software,Encryption,38
Australia,2024,Malware,Retail,11.6,551246,Unknown,Social Engineering,Antivirus,46
China,2024,Ransomware,Banking,13.14,460926,Hacker Group,Social Engineering,Firewall,28
UK,2020,SQL Injection,Banking,5.35,269832,Hacker Group,Unpatched Software,VPN,12
Russia,2022,Malware,Retail,16.71,219089,Unknown,Social Engineering,VPN,47
Russia,2016,Ransomware,IT,2.75,44662,Nation-state,Weak Passwords,VPN,16
USA,2021,DDoS,Telecommunications,7.45,121076,Hacker Group,Social Engineering,AI-based Detection,24
USA,2023,Malware,Retail,46.6,766328,Hacker Group,Social Engineering,Firewall,42
Australia,2020,DDoS,Telecommunications,10.8,509654,Nation-state,Social Engineering,Firewall,33
France,2015,Malware,Healthcare,40.04,979801,Unknown,Social Engineering,Firewall,35
Germany,2021,Ransomware,Banking,7.59,298499,Hacker Group,Unpatched Software,Encryption,15
France,2017,Ransomware,Banking,14.9,535638,Hacker Group,Social Engineering,AI-based Detection,24
Japan,2016,Malware,Banking,91.46,818546,Hacker Group,Unpatched Software,VPN,28
Germany,2022,Man-in-the-Middle,Government,10.7,485257,Nation-state,Zero-day,Antivirus,44
Japan,2024,DDoS,Government,0.58,62321,Nation-state,Social Engineering,Encryption,8
Germany,2024,DDoS,Banking,5.97,32187,Hacker Group,Social Engineering,AI-based Detection,12
China,2021,Ransomware,Government,29.68,203448,Hacker Group,Social Engineering,Encryption,38
UK,2015,Phishing,IT,1.94,63729,Insider,Social Engineering,Firewall,3
China,2021,DDoS,Healthcare,36.13,875510,Unknown,Weak Passwords,Firewall,52
Russia,2021,Ransomware,Government,0.82,275829,Hacker Group,Social Engineering,AI-based Detection,14
USA,2022,Malware,Government,15.07,477959,Unknown,Social Engineering,Encryption,28
Germany,2021,Malware,Banking,20.0,231380,Unknown,Social Engineering,AI-based Detection,15
France,2020,DDoS,Healthcare,49.2,893700,Hacker Group,Unpatched Software,Antivirus,49
USA,2023,Phishing,Telecommunications,0.56,50188,Nation-state,Unpatched Software,VPN,7
India,2016,Phishing,Government,34.12,763219,Hacker Group,Social Engineering,AI-based Detection,67
Brazil,2021,Ransomware,Telecommunications,18.17,489192,Unknown,Zero-day,Encryption,12
Germany,2015,Man-in-the-Middle,Banking,24.16,280353,Unknown,Zero-day,AI-based Detection,42
USA,2019,Malware,Banking,13.14,576625,Unknown,Unpatched Software,VPN,19
UK,2018,Malware,Banking,72.99,516280,Nation-state,Unpatched Software,Antivirus,54
Japan,2022,Malware,Telecommunications,1.66,30420,Nation-state,Social Engineering,Encryption,10
UK,2016,SQL Injection,Education,19.55,213779,Nation-state,Weak Passwords,Encryption,34
Australia,2016,Ransomware,Retail,8.03,75963,Nation-state,Weak Passwords,Firewall,2
Germany,2015,SQL Injection,Healthcare,15.91,306015,Hacker Group,Social Engineering,Antivirus,16
USA,2018,DDoS,Healthcare,9.16,203725,Hacker Group,Zero-day,Firewall,5
Russia,2020,Malware,Telecommunications,6.6,219251,Unknown,Zero-day,Firewall,21
Russia,2022,Malware,Healthcare,26.39,573711,Hacker Group,Zero-day,Antivirus,25
Japan,2017,SQL Injection,Government,12.86,400707,Unknown,Social Engineering,Firewall,33
Australia,2017,Phishing,Telecommunications,15.38,500900,Hacker Group,Unpatched Software,Antivirus,29
UK,2024,Phishing,Telecommunications,3.26,130420,Hacker Group,Weak Passwords,Encryption,9
Russia,2016,Malware,Telecommunications,0.63,144185,Unknown,Social Engineering,Firewall,14
USA,2023,Phishing,Banking,3.24,25431,Nation-state,Zero-day,VPN,13
Brazil,2015,Man-in-the-Middle,Healthcare,10.0,431772,Nation-state,Social Engineering,Firewall,17
UK,2021,DDoS,Education,4.72,100856,Insider,Weak Passwords,Antivirus,11
China,2020,Ransomware,Healthcare,16.4,473947,Hacker Group,Unpatched Software,Antivirus,46
India,2019,Ransomware,Government,18.15,499879,Unknown,Unpatched Software,Firewall,25
Japan,2022,SQL Injection,Banking,4.7,205608,Insider,Weak Passwords,Firewall,24
UK,2022,Man-in-the-Middle,Retail,26.29,390738,Unknown,Weak Passwords,AI-based Detection,39
Australia,2021,DDoS,Banking,2.49,63273,Nation-state,Weak Passwords,Firewall,1
UK,2016,Ransomware,Healthcare,6.65,190587,Hacker Group,Social Engineering,Firewall,8
Brazil,2018,Phishing,Government,0.91,133502,Unknown,Weak Passwords,Encryption,7
UK,2015,SQL Injection,IT,12.87,273517,Hacker Group,Social Engineering,Encryption,48
USA,2024,Phishing,Healthcare,9.72,45818,Hacker Group,Social Engineering,VPN,5
Japan,2015,Ransomware,Government,0.95,296654,Nation-state,Social Engineering,AI-based Detection,18
Brazil,2015,Malware,IT,12.58,476347,Hacker Group,Unpatched Software,Antivirus,44
Brazil,2017,Ransomware,Retail,16.03,443388,Unknown,Social Engineering,Encryption,37
France,2020,Malware,Education,3.82,127415,Nation-state,Social Engineering,Firewall,15
France,2024,Malware,IT,58.98,940942,Unknown,Social Engineering,Encryption,56
Australia,2017,SQL Injection,Banking,15.45,223278,Nation-state,Social Engineering,Firewall,36
Germany,2021,DDoS,Telecommunications,36.71,689637,Unknown,Social Engineering,Antivirus,39
India,2016,DDoS,Retail,3.65,150440,Hacker Group,Unpatched Software,Antivirus,22
USA,2016,Ransomware,Healthcare,14.37,566543,Hacker Group,Weak Passwords,AI-based Detection,48
India,2020,Ransomware,Banking,14.74,577323,Hacker Group,Unpatched Software,VPN,44
India,2022,SQL Injection,Education,9.93,133069,Nation-state,Weak Passwords,VPN,20
Japan,2016,Ransomware,Telecommunications,20.0,365121,Hacker Group,Social Engineering,Firewall,28
Russia,2020,SQL Injection,IT,10.27,418475,Unknown,Unpatched Software,VPN,19
USA,2024,Ransomware,Banking,0.85,247201,Insider,Weak Passwords,Encryption,21
Australia,2018,Phishing,Telecommunications,9.32,234876,Nation-state,Weak Passwords,Encryption,3
UK,2018,Ransomware,Telecommunications,11.03,410876,Hacker Group,Social Engineering,AI-based Detection,12
Brazil,2017,SQL Injection,Telecommunications,0.5,77926,Nation-state,Unpatched Software,Antivirus,20
India,2018,Ransomware,Banking,11.9,281945,Insider,Zero-day,Antivirus,31
India,2015,Phishing,Telecommunications,7.09,175829,Hacker Group,Zero-day,Firewall,22
